"state","county","percent_non_white","one_nonwhite_group","largest_racial_ethnic_group"
"Louisiana","Orleans Parish",0.669,0.591,"Black"
"Louisiana","St. Helena Parish",0.519,0.519,"Black"
"Louisiana","St. John the Baptist Parish",0.446,0.57,"Black"
"Louisiana","West Feliciana Parish",0.501,0.443,"Black"
"Maryland","Baltimore city",0.642,0.619,"Black"
"Maryland","Prince George’s ",0.626,0.619,"Black"
"Mississippi","Adams ",0.525,0.524,"Black"
"Mississippi","Bolivar ",0.648,0.636,"Black"
"Mississippi","Clay ",0.561,0.585,"Black"
"Mississippi","Coahoma ",0.689,0.766,"Black"
"Mississippi","Copiah ",0.507,0.512,"Black"
"Mississippi","Hinds ",0.609,0.724,"Black"
"Mississippi","Holmes ",0.78,0.82,"Black"
"Mississippi","Jasper ",0.527,0.53,"Black"
"Mississippi","Jefferson Davis ",0.571,0.596,"Black"
"Mississippi","Kemper ",0.577,0.607,"Black"
"Mississippi","Leflore ",0.673,0.74,"Black"
"Mississippi","Marshall ",0.501,0.47,"Black"
"Mississippi","Noxubee ",0.689,0.718,"Black"
"Mississippi","Pike ",0.473,0.531,"Black"
"Mississippi","Sunflower ",0.695,0.732,"Black"
"Mississippi","Tallahatchie ",0.59,0.567,"Black"
"Mississippi","Washington ",0.643,0.719,"Black"
"Mississippi","Yazoo ",0.536,0.567,"Black"
"Missouri","St. Louis city",0.511,0.456,"Black"
"North Carolina","Bertie ",0.621,0.607,"Black"
"North Carolina","Edgecombe ",0.572,0.572,"Black"
"North Carolina","Halifax ",0.523,0.531,"Black"
"North Carolina","Hertford ",0.593,0.603,"Black"
"North Carolina","Northampton ",0.594,0.569,"Black"
"North Carolina","Vance ",0.48,0.505,"Black"
"North Carolina","Warren ",0.544,0.506,"Black"
"South Carolina","Bamberg ",0.622,0.598,"Black"
"South Carolina","Clarendon ",0.53,0.469,"Black"
"South Carolina","Fairfield ",0.589,0.57,"Black"
"South Carolina","Hampton ",0.554,0.527,"Black"
"South Carolina","Jasper ",0.525,0.41,"Black"
"South Carolina","Lee ",0.634,0.636,"Black"
"South Carolina","Marion ",0.561,0.563,"Black"
"South Carolina","Marlboro ",0.506,0.506,"Black"
"South Carolina","Orangeburg ",0.607,0.616,"Black"
"South Carolina","Williamsburg ",0.66,0.644,"Black"
"Tennessee","Haywood ",0.509,0.502,"Black"
"Tennessee","Shelby ",0.485,0.536,"Black"
"Virginia","Brunswick ",0.567,0.546,"Black"
"Virginia","Greensville ",0.597,0.59,"Black"
